from_id,to_id,way_id,highway_type,way_name,length
13.2181_52.5302,13.2188_52.5301,120162704,service,,0.000707
13.2179_52.5296,13.2178_52.5293,25114176,service,,0.000316
13.2162_52.5302,13.2163_52.5301,25114175,service,,0.000141
13.2163_52.5301,13.2166_52.5297,25114175,service,,0.000500
13.2166_52.5297,13.2168_52.5295,25114175,service,,0.000283
13.2166_52.5297,13.2169_52.5296,25114176,service,,0.000316
13.2168_52.5295,13.217_52.5293,25114175,service,,0.000283
13.217_52.5293,13.2172_52.5292,25114175,service,,0.000224
13.2172_52.5292,13.2174_52.5291,25114175,service,,0.000224
13.2174_52.5291,13.2175_52.529,25114175,service,,0.000141
13.2175_52.529,13.2176_52.529,25114175,service,,0.000100
13.2175_52.529,13.2175_52.5291,198170306,service,,0.000100
13.2176_52.529,13.2177_52.529,25114175,service,,0.000100
13.2177_52.529,13.2179_52.5289,25114175,service,,0.000224
13.2179_52.5289,13.218_52.5289,25114175,service,,0.000100
13.218_52.5289,13.2183_52.5288,25114175,service,,0.000316
13.2183_52.5288,13.2186_52.5288,25114175,service,,0.000300
13.2183_52.5288,13.2182_52.5287,25114187,service,,0.000141
13.2186_52.5288,13.2187_52.5287,25114175,service,,0.000141
13.2186_52.5288,13.2187_52.5289,25114179,service,,0.000141
13.2187_52.5287,13.2188_52.5287,25114175,service,,0.000100
13.2188_52.5287,13.2189_52.5287,25114175,service,,0.000100
13.2189_52.5287,13.2191_52.5287,25114175,service,,0.000200
13.2191_52.5287,13.2194_52.5287,25114175,service,,0.000300
13.2194_52.5287,13.2195_52.5287,25114175,service,,0.000100
13.2195_52.5287,13.2196_52.5287,25114175,service,,0.000100
13.2196_52.5287,13.22_52.5287,25114175,service,,0.000400
13.22_52.5287,13.2202_52.5287,25114175,service,,0.000200
13.2202_52.5287,13.2206_52.5288,25114175,service,,0.000412
13.2206_52.5288,13.2213_52.5289,25114175,service,,0.000707
13.2213_52.5289,13.2216_52.529,25114175,service,,0.000316
13.2216_52.529,13.2217_52.529,25114175,service,,0.000100
13.2217_52.529,13.2217_52.529,25114175,service,,0.000000
13.2217_52.529,13.2217_52.5291,25114175,service,,0.000100
13.2217_52.5291,13.2217_52.5291,25114175,service,,0.000000
13.2217_52.5291,13.2217_52.5292,25114175,service,,0.000100
13.2217_52.5292,13.2217_52.5292,25114175,service,,0.000000
13.2217_52.5292,13.2209_52.5298,25114175,service,,0.001000
13.2169_52.5296,13.2171_52.5296,25114176,service,,0.000200
13.2171_52.5296,13.2174_52.5296,25114176,service,,0.000300
13.2171_52.5296,13.217_52.5293,48997249,service,,0.000316
13.2174_52.5296,13.2176_52.5296,25114176,service,,0.000200
13.2174_52.5296,13.2172_52.5292,120162852,service,,0.000447
13.2176_52.5296,13.2179_52.5296,25114176,service,,0.000300
13.2176_52.5296,13.2175_52.5291,25114177,service,,0.000510
13.2178_52.5293,13.2178_52.5291,25114176,service,,0.000200
13.2178_52.5293,13.2181_52.5293,25114178,service,,0.000300
13.2178_52.5291,13.2177_52.529,25114177,service,,0.000141
